timestamp,round,phase,loss,accuracy,num_clients,total_examples
2025-11-30 16:31:50,1,train,3.3879562511154884,0.11135968262398685,20,4023
2025-11-30 16:31:51,1,evaluate,3.86782550446575,0.04157549278154415,20,457
2025-11-30 16:31:59,2,train,3.164625563907173,0.16853094634512245,20,4023
2025-11-30 16:31:59,2,evaluate,3.57547442709591,0.23851203960845455,20,457
2025-11-30 16:32:07,3,train,2.046084718119882,0.4834700500656946,20,4023
2025-11-30 16:32:08,3,evaluate,2.829795875486712,0.34354486265902445,20,457
2025-11-30 16:32:16,4,train,1.197184056006585,0.6703952284941411,20,4023
2025-11-30 16:32:17,4,evaluate,2.3021710865868,0.46170679028237677,20,457
2025-11-30 16:32:24,5,train,0.8246467596050996,0.7588864054485485,20,4023
2025-11-30 16:32:25,5,evaluate,1.9403181986422715,0.5361050390832012,20,457
2025-11-30 16:32:33,6,train,0.5946987143595243,0.8279890590362398,20,4023
2025-11-30 16:32:34,6,evaluate,1.7848378175979631,0.5776805404239462,20,457
2025-11-30 16:32:42,7,train,0.4522040432331546,0.8719860838771074,20,4023
2025-11-30 16:32:42,7,evaluate,1.644009894041316,0.5908096345952616,20,457
2025-11-30 16:32:50,8,train,0.3563677257539442,0.9030574192729365,20,4023
2025-11-30 16:32:51,8,evaluate,1.5731495720552406,0.6148796530860258,20,457
2025-11-30 16:32:59,9,train,0.30653949095972904,0.920457381085617,20,4023
2025-11-30 16:33:00,9,evaluate,1.4857180693739092,0.6301969410423638,20,457
2025-11-30 16:33:07,10,train,0.25562689320204895,0.9361173229936993,20,4023
2025-11-30 16:33:08,10,evaluate,1.469114763601082,0.6389496780980859,20,457
2025-11-30 16:33:16,11,train,0.20440095442868333,0.9527715701325569,20,4023
2025-11-30 16:33:17,11,evaluate,1.4074532064880272,0.6542669612938778,20,457
2025-11-30 16:33:25,12,train,0.18167379021407537,0.9577429733731514,20,4023
2025-11-30 16:33:26,12,evaluate,1.384743800570198,0.669584252250012,20,457
2025-11-30 16:33:33,13,train,0.18787345700401173,0.9530201314576017,20,4023
2025-11-30 16:33:34,13,evaluate,1.3550020344147797,0.684901538380387,20,457
2025-11-30 16:33:42,14,train,0.14446505355636427,0.9664429585168589,20,4023
2025-11-30 16:33:43,14,evaluate,1.370347080397658,0.6695842523804378,20,457
2025-11-30 16:33:50,15,train,0.14115995588348246,0.9659458165911932,20,4023
2025-11-30 16:33:51,15,evaluate,1.3395847517760628,0.6892779086037851,20,457
2025-11-30 16:33:59,16,train,0.12271374295318183,0.9714143700692122,20,4023
2025-11-30 16:33:59,16,evaluate,1.3314183128740908,0.6849015346632483,20,457
2025-11-30 16:34:07,17,train,0.10334014916839275,0.9768829244510054,20,4023
2025-11-30 16:34:08,17,evaluate,1.3205386441959073,0.6870897254484748,20,457
2025-11-30 16:34:15,18,train,0.0993029664939845,0.9766343539548756,20,4023
2025-11-30 16:34:16,18,evaluate,1.2860681278961232,0.6958424594391879,20,457
2025-11-30 16:34:23,19,train,0.08110141186606164,0.9821029099960573,20,4023
2025-11-30 16:34:24,19,evaluate,1.310287869993915,0.7045951948645861,20,457
2025-11-30 16:34:32,20,train,0.0767617910404037,0.9826000583370379,20,4023
2025-11-30 16:34:32,20,evaluate,1.3062410183756306,0.6958424574827992,20,457
2025-11-30 16:34:40,21,train,0.08157046765122371,0.9791200623831108,20,4023
2025-11-30 16:34:40,21,evaluate,1.2886299193557555,0.7024070092963963,20,457
2025-11-30 16:34:49,22,train,0.08440989997444419,0.981605765922076,20,4023
2025-11-30 16:34:49,22,evaluate,1.2866573046803214,0.6958424590479102,20,457
2025-11-30 16:34:57,23,train,0.07590049161688475,0.9806114817744253,20,4023
2025-11-30 16:34:58,23,evaluate,1.2899841538404218,0.704595193364688,20,457
2025-11-30 16:35:06,24,train,0.05222158267188437,0.9893114604435541,20,4023
2025-11-30 16:35:07,24,evaluate,1.31469236904474,0.706783375346165,20,457
2025-11-30 16:35:15,25,train,0.06954035136905173,0.9858314744311425,20,4023
2025-11-30 16:35:15,25,evaluate,1.312290480804652,0.6936542695017299,20,457
2025-11-30 16:35:23,26,train,0.05089037607602447,0.9888143226811758,20,4023
2025-11-30 16:35:24,26,evaluate,1.3042002459845345,0.7045951931038362,20,457
2025-11-30 16:35:32,27,train,0.05483166700756405,0.9870743274303505,20,4023
2025-11-30 16:35:33,27,evaluate,1.3271069021924058,0.7002188245759751,20,457
2025-11-30 16:35:41,28,train,0.048296443858280455,0.9900571743321306,20,4023
2025-11-30 16:35:42,28,evaluate,1.3432422546380458,0.6936542668932115,20,457
2025-11-30 16:35:49,29,train,0.04939962923943463,0.9880686063035163,20,4023
2025-11-30 16:35:50,29,evaluate,1.3464325341667076,0.7045951934951139,20,457
2025-11-30 16:35:58,30,train,0.05609477239330106,0.987571470422766,20,4023
2025-11-30 16:35:59,30,evaluate,1.3393318886569083,0.6849015348588873,20,457
2025-11-30 16:36:07,31,train,0.03763791314124128,0.9922943124568435,20,4023
2025-11-30 16:36:08,31,evaluate,1.3668795638846098,0.6914660878463178,20,457
2025-11-30 16:36:16,32,train,0.0484747590079048,0.9875714674003083,20,4023
2025-11-30 16:36:17,32,evaluate,1.3675890135817246,0.7024070109267203,20,457
2025-11-30 16:36:25,33,train,0.05195706829349037,0.9865771786152591,20,4023
2025-11-30 16:36:25,33,evaluate,1.3521930950997434,0.7024070012099894,20,457
2025-11-30 16:36:33,34,train,0.043998571479447204,0.9888143150657674,20,4023
2025-11-30 16:36:34,34,evaluate,1.3683980664226105,0.698030645920359,20,457
