timestamp,round,phase,loss,accuracy,num_clients,total_examples
2025-11-24 13:50:45,1,train,3.2011730720776796,0.17542070554629205,10,1961
2025-11-24 13:50:46,1,evaluate,3.76516892673733,0.10360360461043881,10,222
2025-11-24 13:50:53,2,train,1.6468992998623107,0.5828658883924815,10,1961
2025-11-24 13:50:53,2,evaluate,2.7027564510568842,0.32432432989547916,10,222
2025-11-24 13:50:59,3,train,0.5525222866739441,0.8449770629497161,10,1961
2025-11-24 13:50:59,3,evaluate,2.1938710250296034,0.48198198574083345,10,222
2025-11-24 13:51:06,4,train,0.31558327219548243,0.9133095338233936,10,1961
2025-11-24 13:51:06,4,evaluate,2.0449048860653027,0.504504511753718,10,222
2025-11-24 13:51:12,5,train,0.21434803367846478,0.9464558920101631,10,1961
2025-11-24 13:51:13,5,evaluate,1.936130601543564,0.5585585735939644,10,222
2025-11-24 13:51:19,6,train,0.16256527561259354,0.9525752143857432,10,1961
2025-11-24 13:51:19,6,evaluate,1.8512186998719569,0.5720720736830084,10,222
2025-11-24 13:51:25,7,train,0.11870603206767409,0.9688934175594919,10,1961
2025-11-24 13:51:26,7,evaluate,1.8019817288931426,0.590090096265346,10,222
2025-11-24 13:51:32,8,train,0.10621936094017737,0.9724630261488802,10,1961
2025-11-24 13:51:32,8,evaluate,1.6938932994464497,0.6261261333753397,10,222
2025-11-24 13:51:38,9,train,0.09301995128119618,0.9729729603894325,10,1961
2025-11-24 13:51:39,9,evaluate,1.7111481207985062,0.6306306349264609,10,222
2025-11-24 13:51:45,10,train,0.06598851826537756,0.9811320794838415,10,1961
2025-11-24 13:51:45,10,evaluate,1.658794193654447,0.6486486573745539,10,222
2025-11-24 13:51:52,11,train,0.05886985706844572,0.983171860275677,10,1961
2025-11-24 13:51:52,11,evaluate,1.611068092487954,0.6621621707538227,10,222
2025-11-24 13:51:58,12,train,0.04902401093862788,0.9872514058411699,10,1961
2025-11-24 13:51:58,12,evaluate,1.5825806829306457,0.6576576661150735,10,222
2025-11-24 13:52:05,13,train,0.07000794047124072,0.9816420179189073,10,1961
2025-11-24 13:52:05,13,evaluate,1.5279880273449529,0.657657663698669,10,222
2025-11-24 13:52:12,14,train,0.04902659443789815,0.986741463697911,10,1961
2025-11-24 13:52:12,14,evaluate,1.5771476680094056,0.6666666708282523,10,222
2025-11-24 13:52:18,15,train,0.03713730022725343,0.9882712876656905,10,1961
2025-11-24 13:52:19,15,evaluate,1.5096070162347845,0.6846846904572066,10,222
2025-11-24 13:52:25,16,train,0.03357179357476954,0.9913309523793036,10,1961
2025-11-24 13:52:25,16,evaluate,1.5399283060619422,0.680180188637596,10,222
2025-11-24 13:52:32,17,train,0.031551363514161636,0.9903110679712057,10,1961
2025-11-24 13:52:32,17,evaluate,1.4884842032784815,0.6756756841330915,10,222
2025-11-24 13:52:38,18,train,0.03243441454836342,0.9908210089290586,10,1961
2025-11-24 13:52:39,18,evaluate,1.569487752678158,0.680180188637596,10,222
2025-11-24 13:52:45,19,train,0.03445720615521765,0.9898011303568056,10,1961
2025-11-24 13:52:45,19,evaluate,1.5524374885602041,0.6846846975721754,10,222
2025-11-24 13:52:52,20,train,0.027743326952184177,0.9923508482159309,10,1961
2025-11-24 13:52:52,20,evaluate,1.52948187143953,0.680180188637596,10,222
2025-11-24 13:52:59,21,train,0.028010935678865336,0.9933707268185789,10,1961
2025-11-24 13:52:59,21,evaluate,1.4775747264827694,0.6846846928736111,10,222
2025-11-24 13:53:05,22,train,0.047549713878858646,0.9862315152324869,10,1961
2025-11-24 13:53:06,22,evaluate,1.4789058128455739,0.675675681716687,10,222
2025-11-24 13:53:12,23,train,0.024266937894348677,0.9933707299188714,10,1961
2025-11-24 13:53:12,23,evaluate,1.5263296894662015,0.6891891967068922,10,222
2025-11-24 13:53:19,24,train,0.018644832740483206,0.9949005580203744,10,1961
2025-11-24 13:53:19,24,evaluate,1.5162448826673869,0.6801801910540005,10,222
2025-11-24 13:53:26,25,train,0.015563961559187569,0.9964304046020527,10,1961
2025-11-24 13:53:26,25,evaluate,1.5339416568880682,0.7027027145162359,10,222
