timestamp,round,phase,loss,accuracy,num_clients,total_examples
2025-11-24 11:23:24,1,train,3.867502526293464,0.05240641768404188,10,1870
2025-11-24 11:23:25,1,evaluate,3.8263055808107618,0.046948356658849916,10,213
2025-11-24 11:23:26,2,train,3.686477351316156,0.06256684531223647,10,1870
2025-11-24 11:23:26,2,evaluate,3.613312904823554,0.07042253614696259,10,213
2025-11-24 11:23:27,3,train,3.5694144200513707,0.06363636424197233,10,1870
2025-11-24 11:23:27,3,evaluate,3.602185457525119,0.16431925190446522,10,213
2025-11-24 11:23:28,4,train,3.5429281989520884,0.0951871665244434,10,1870
2025-11-24 11:23:28,4,evaluate,3.5794097190731566,0.07511737207256852,10,213
2025-11-24 11:23:29,5,train,3.5039083302339766,0.10267379638106428,10,1870
2025-11-24 11:23:30,5,evaluate,3.5373396761540516,0.23004695122510616,10,213
